SpecCode,Genus,Species,Length,Weight,Vulnerability,BodyShapeI,DemersPelag,Fresh,Brack,Saltwater,predicted_length,prediction_error
64588,Aapticheilichthys,Aapticheilichthys websteri,3.07999992370605,46243.1966134866,10.0,fusiform / normal,benthopelagic,1,0,0,8.164507335389729,5.0845074116836795
16239,Aaptosyax,Aaptosyax grypus,130.0,30000.0,90.0,fusiform / normal,pelagic,1,0,0,157.64487386521125,27.644873865211252
2347,Abactochromis,Abactochromis labrosus,11.5,46243.1966134866,10.0,short and / or deep,demersal,1,0,0,8.164507335389729,3.335492664610271
62612,Abalistes,Abalistes filamentosus,32.5,1375.0,29.65,short and / or deep,pelagic-neritic,0,0,1,42.54146782723,10.04146782723
9,Abalistes,Abalistes stellatus,60.0,46243.1966134866,44.0,short and / or deep,demersal,0,0,1,72.99701169288693,12.997011692886929
11144,Abantennarius,Abantennarius analis,7.80000019073486,46243.1966134866,10.0,short and / or deep,reef-associated,0,0,1,8.941599172188589,1.141598981453729
16680,Abantennarius,Abantennarius bermudensis,7.59999990463257,46243.1966134866,10.0,short and / or deep,reef-associated,0,0,1,8.941599172188589,1.3415992675560187
5402,Abantennarius,Abantennarius coccineus,13.0,46243.1966134866,10.0,short and / or deep,reef-associated,0,0,1,8.941599172188589,4.058400827811411
7294,Abantennarius,Abantennarius dorehensis,14.0,46243.1966134866,10.0,short and / or deep,reef-associated,0,0,1,8.941599172188589,5.058400827811411
69666,Abantennarius,Abantennarius drombus,12.0,46243.1966134866,10.0,short and / or deep,reef-associated,0,0,1,8.941599172188589,3.058400827811411
27298,Abantennarius,Abantennarius duescus,3.0,46243.1966134866,10.0,short and / or deep,demersal,0,0,1,8.941599172188589,5.941599172188589
5403,Abantennarius,Abantennarius nummifer,13.0,46243.1966134866,10.0,short and / or deep,reef-associated,0,0,1,8.941599172188589,4.058400827811411
7296,Abantennarius,Abantennarius rosaceus,5.80000019073486,46243.1966134866,10.0,short and / or deep,reef-associated,0,0,1,8.941599172188589,3.141598981453729
13451,Abantennarius,Abantennarius sanguineus,8.19999980926514,46243.1966134866,10.0,short and / or deep,reef-associated,0,0,1,8.941599172188589,0.7415993629234485
62797,Abbottina,Abbottina binhi,28.1334592486221,46243.1966134866,10.0,Elongated,benthopelagic,1,0,0,8.164507335389729,19.96895191323237
65146,Abbottina,Abbottina lalinensis,28.1334592486221,46243.1966134866,10.0,Elongated,benthopelagic,1,0,0,8.164507335389729,19.96895191323237
55145,Abbottina,Abbottina liaoningensis,6.59999990463257,46243.1966134866,10.0,fusiform / normal,demersal,1,0,0,8.164507335389729,1.5645074307571587
55143,Abbottina,Abbottina obtusirostris,10.8999996185303,13.5,10.0,fusiform / normal,benthopelagic,1,0,0,4.64032566753135,6.25967395099895
22903,Abbottina,Abbottina rivularis,18.8999996185303,46243.1966134866,32.88,fusiform / normal,benthopelagic,1,1,0,60.2145774995148,41.3145778809845
8049,Ablabys,Ablabys binotatus,15.0,46243.1966134866,10.0,short and / or deep,benthopelagic,0,0,1,8.941599172188589,6.058400827811411
69366,Ablabys,Ablabys gymnothorax,8.27999973297119,46243.1966134866,10.0,short and / or deep,benthopelagic,0,0,1,8.941599172188589,0.6615994392173992
25701,Ablabys,Ablabys macracanthus,20.0,46243.1966134866,10.0,short and / or deep,benthopelagic,0,0,1,8.941599172188589,11.058400827811411
69367,Ablabys,Ablabys pauciporus,5.23999977111816,46243.1966134866,10.0,short and / or deep,benthopelagic,0,0,1,8.941599172188589,3.701599401070429
10232,Ablabys,Ablabys taenianotus,15.0,46243.1966134866,10.0,short and / or deep,benthopelagic,0,0,1,8.941599172188589,6.058400827811411
972,Ablennes,Ablennes hians,140.0,4800.0,39.61,elongated,reef-associated,0,1,1,70.51157579167665,69.48842420832335
46918,Aboma,Aboma etheostoma,3.40000009536743,46243.1966134866,10.0,fusiform / normal,demersal,0,0,1,8.941599172188589,5.541599076821159
70273,Aborichthys,Aborichthys barapensis,9.69999980926514,46243.1966134866,10.0,elongated,demersal,1,0,0,8.164507335389729,1.5354924738754114
55860,Aborichthys,Aborichthys boutanensis,10.4700002670288,46243.1966134866,10.0,elongated,demersal,1,0,0,8.164507335389729,2.305492931639071
